target_col,model_name,bucket,mean_pred,mean_realized,n
target_portfolio_dd_63d,ewma,3,0.10791531153237248,-0.037821641932302606,768
target_portfolio_dd_63d,ewma,4,0.14335786701583692,-0.05856953880087074,769
target_portfolio_dd_63d,naive_rolling_vol,0,0.07540713078863148,-0.04605953473987705,770
target_portfolio_dd_63d,naive_rolling_vol,1,0.08664187849406108,-0.05448700451996389,769
target_portfolio_dd_63d,naive_rolling_vol,2,0.09586008674316071,-0.050696515948112766,769
target_portfolio_dd_63d,naive_rolling_vol,3,0.10802994704607383,-0.03837220474977199,767
target_portfolio_dd_63d,naive_rolling_vol,4,0.14409978579603896,-0.05849865348307359,768
target_portfolio_dd_63d,random_forest,0,-0.08430904383376427,-0.04417607745259566,769
target_portfolio_dd_63d,random_forest,1,-0.06009917054241214,-0.043426307806138376,768
target_portfolio_dd_63d,random_forest,2,-0.04708618515206932,-0.04652933285427518,769
target_portfolio_dd_63d,random_forest,3,-0.03647765889628065,-0.060846736567245055,769
target_portfolio_dd_63d,random_forest,4,-0.028976256057667276,-0.05314506584169598,768
target_portfolio_dd_63d,ridge,0,-0.1097470998511959,-0.058621604186293516,769
target_portfolio_dd_63d,ridge,1,-0.07830441417643366,-0.049195207608938994,768
target_portfolio_dd_63d,ridge,2,-0.05868988343732297,-0.04613355037240622,769
target_portfolio_dd_63d,ridge,3,-0.037941677288886595,-0.04729363253647167,768
target_portfolio_dd_63d,ridge,4,-0.0015067206702985192,-0.04687941849208899,769
target_portfolio_vol_21d,elastic_net,0,0.07393454973012464,0.07431174101036628,643
target_portfolio_vol_21d,elastic_net,1,0.08718848399644644,0.08714660299699926,642
target_portfolio_vol_21d,elastic_net,2,0.09746180714306399,0.09758105391624625,643
target_portfolio_vol_21d,elastic_net,3,0.11345306045428137,0.11323630686137659,642
target_portfolio_vol_21d,elastic_net,4,0.15930710320272617,0.16222560802440444,643
target_portfolio_vol_21d,ewma,0,0.07482581806761587,0.07581939252693914,643
target_portfolio_vol_21d,ewma,1,0.08750018276695629,0.08824732692129036,642
target_portfolio_vol_21d,ewma,2,0.09813455589601798,0.09823438776078904,643
target_portfolio_vol_21d,ewma,3,0.11372595326102974,0.11445413145515654,642
