rebalance_date,strategy,objective,beta,max_total_crypto_weight,turnover_one_way,is_initial_rebalance,n_assets_changed,max_abs_weight_change
2025-01-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.0596860479114197,False,4,0.05611329494522886
2025-02-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.028680241597815424,False,4,0.028680241597815403
2025-03-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.023464855481872472,False,4,0.012685136792602247
2025-04-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.03086943519861633,False,4,0.030869435198616346
2025-05-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.058126726757794754,False,4,0.050651931598351074
2025-06-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.01650490040506425,False,3,0.01650490040506425
2025-07-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.007540073238441691,False,3,0.007540073238441636
2025-08-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.00667218044341833,False,3,0.006672180443418385
2025-09-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.008964309116682362,False,3,0.00896430911668239
2025-10-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.01748513004172192,False,3,0.01748513004172192
2025-11-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.003808117923629395,False,3,0.003808117923629395
2025-12-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.011440895172063925,False,3,0.011440895172063925
2026-01-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.008807262464230359,False,3,0.008807262464230303
2026-02-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.07522427906129736,False,3,0.07522427906129742
2026-03-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.07568258296921437,False,4,0.07333078177740537
2026-04-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.11525489619778015,False,4,0.1152548961977801
2026-05-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.022418845238378303,False,4,0.022418845238378227
2019-01-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.0,True,0,0.0
2019-02-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.01723990249759276,False,4,0.01723990249759272
2019-03-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.009774552245877238,False,4,0.00905489752485128
2019-04-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.01697217895055466,False,4,0.012378685181399618
2019-05-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.013687831870597252,False,4,0.01073404601747108
2019-06-03,minvar_baseline_ch1,min_variance,0.95,0.2,0.02257843127806724,False,4,0.0225784312780673
2019-07-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.01497209629406044,False,4,0.014972096294060488
2019-08-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.0054073003250020915,False,5,0.0053081889217044854
2019-09-02,minvar_baseline_ch1,min_variance,0.95,0.2,0.038879853191315296,False,4,0.03696128287057904
2019-10-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.01941515616849319,False,4,0.019415156168493153
2019-11-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.014402062908502088,False,4,0.014402062908502045
2019-12-02,minvar_baseline_ch1,min_variance,0.95,0.2,0.028387778660842695,False,6,0.02187372121992198
2020-01-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.0741701161103774,False,6,0.06448099584911646
2020-02-03,minvar_baseline_ch1,min_variance,0.95,0.2,0.029501577985177628,False,6,0.015852158743719397
2020-03-02,minvar_baseline_ch1,min_variance,0.95,0.2,0.05477931117641459,False,6,0.030913124893608646
2020-04-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.24326065693740473,False,5,0.20262365283740974
2020-05-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.07976640749203337,False,4,0.07957867269975466
2020-06-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.015456929988483263,False,4,0.013235624222454903
2020-07-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.030534954639086648,False,4,0.028419692453230158
2020-08-03,minvar_baseline_ch1,min_variance,0.95,0.2,0.016518290567067388,False,4,0.01163313326632115
2020-09-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.09183160272817678,False,4,0.09183160272817684
2020-10-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.012929537737020644,False,4,0.011071206064197536
2020-11-02,minvar_baseline_ch1,min_variance,0.95,0.2,0.00570382851391538,False,3,0.005703828513915321
2020-12-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.026262264067068684,False,3,0.026262264067068664
2021-01-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.014810470106840463,False,3,0.014810470106840501
2021-02-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.005200117001534984,False,3,0.005200117001534887
2021-03-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.019069629247999768,False,3,0.01906962924799982
2021-04-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.04904914517441904,False,3,0.04904914517441905
2021-05-03,minvar_baseline_ch1,min_variance,0.95,0.2,0.0050475686481349135,False,3,0.005047568648134937
2021-06-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.01505146003891007,False,3,0.015051460038910114
2021-07-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.021963934810531417,False,3,0.021963934810531383
2021-08-02,minvar_baseline_ch1,min_variance,0.95,0.2,0.0027290063587017506,False,3,0.0027290063587017688
2021-09-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.0072026684305819075,False,4,0.007202668430581871
2021-10-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.004203550114470557,False,4,0.0037706636568622387
2021-11-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.010975975973293512,False,4,0.010975975973293528
2021-12-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.009307680250824579,False,4,0.008022809643799034
2022-01-03,minvar_baseline_ch1,min_variance,0.95,0.2,0.013433621577093432,False,4,0.01343362157709338
2022-02-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.00635851460375082,False,3,0.006358514603750864
2022-03-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.011116731731706075,False,3,0.011116731731706075
2022-04-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.020592335518110905,False,3,0.020592335518110905
2022-05-02,minvar_baseline_ch1,min_variance,0.95,0.2,0.008530065010145475,False,3,0.008530065010145527
2022-06-01,minvar_baseline_ch1,min_variance,0.95,0.2,0.017281837969320285,False,3,0.017281837969320313
